,title,name,district,total_price,price,house_type,floor_loc,house_area,house_struc,real_area,archi_cate,house_toward,archi_struc,deco_condition,elevator_rate,elevator_equip
55,近九号线，公交底站，交通便利，诚心出售,塘和家园桂花锦苑二手房,松江二手房,207.8,27886元/平米,2室1厅1厨1卫,低楼层 (共11层),74.52㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,有
56,浦江世博家园七街坊，近地铁，户型方正，诚心出售,浦江世博家园七街坊二手房,闵行二手房,338,41900元/平米,2室1厅1厨1卫,高楼层 (共5层),80.67㎡,平层,80.67㎡,板楼,南 北,钢混结构,精装,一梯两户,无
57,动迁满五唯一 精装南北两房 生活便利 交通方便,由由二村二手房,浦东二手房,278,53565元/平米,2室1厅1厨1卫,高楼层 (共6层),51.9㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯三户,无
58,北虹桥+三轨交通+二甲医院+总价低+诚意出售,富友嘉园二手房,嘉定二手房,249,34526元/平米,2室2厅1厨1卫,高楼层 (共6层),72.12㎡,平层,62.75㎡,板楼,南 北,钢混结构,简装,一梯三户,无
59,小区中间位置、双南全明户型，13号线和18号线双轨。,鹏海小区二手房,浦东二手房,328,53622元/平米,2室1厅0厨1卫,低楼层 (共6层),61.17㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无
60,新上！全明带天井的两房，满五唯一，看房方便,洛场路250弄二手房,宝山二手房,260,42841元/平米,2室1厅1厨1卫,低楼层 (共6层),60.69㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯四户,无
61,13年新小区，近地铁，业主诚意出售，看房方便,中环和润苑二手房,杨浦二手房,450,68494元/平米,2室1厅1厨1卫,中楼层 (共30层),65.7㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯五户,有
62,动迁房满五唯一，装修好，对口适存！,瑞冬小区二手房,长宁二手房,295,57027元/平米,2室1厅1厨1卫,高楼层 (共6层),51.73㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯四户,无
63,绿中海明苑(公寓) 3室2厅 380万,绿中海明苑(公寓)二手房,青浦二手房,380,42851元/平米,3室2厅1厨2卫,中楼层 (共8层),88.68㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯六户,有
64,田林十二村 2室1厅 410万,田林十二村二手房,徐汇二手房,410,81870元/平米,2室1厅0厨1卫,中楼层 (共6层),50.08㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯四户,无
65,中山公园满五唯一  南北一梯两户中间楼层   急售,利西路280弄二手房,长宁二手房,320,64739元/平米,2室1厅1厨1卫,中楼层 (共6层),49.43㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无
66,近地铁，精装修，采光充足，格局明亮,繁荣华庭二手房,浦东二手房,351,46875元/平米,2室2厅1厨1卫,低楼层 (共15层),74.88㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯四户,有
67,新静安二楼两室一厅，精装修，全明户型，双南双阳台,阳曲路650弄二手房,静安二手房,210,49941元/平米,2室1厅1厨1卫,低楼层 (共6层),42.05㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯三户,无
68,一楼带天井鱼池，满五唯一精装自住大两房,黎明花园二手房,闵行二手房,315,47029元/平米,2室2厅1厨1卫,低楼层 (共6层),66.98㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯四户,无
69,此房带露台，双南户型，格局方正，一梯一户,黄山始信苑二手房,浦东二手房,615,90642元/平米,2室2厅1厨1卫,高楼层 (共5层),67.85㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯两户,无
70,总价底 双南 精装 急售 可看可签,大华二村二手房,宝山二手房,288,44603元/平米,2室1厅1厨1卫,高楼层 (共6层),64.57㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯三户,无
71,三江小区 2室1厅 480万,三江小区二手房,徐汇二手房,480,88415元/平米,2室1厅1厨1卫,中楼层 (共6层),54.29㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯六户,无
72,近地铁+精装修+低总价+小区中间位置+诚意出售,振兴小区(徐汇)二手房,徐汇二手房,235,65061元/平米,1室1厅1厨1卫,高楼层 (共5层),36.12㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯四户,无
73,老业主委托，钥匙随时看房，低总低,南丹小区二手房,徐汇二手房,315,184751元/平米,1室1厅1厨1卫,高楼层 (共6层),17.05㎡,平层,暂无数据,板楼,北 西北,砖混结构,简装,一梯五户,无
74,2号线世纪公园近地铁口+双南全明无遮挡,牡丹小区(浦东)二手房,浦东二手房,510,69050元/平米,2室2厅1厨1卫,中楼层 (共6层),73.86㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无
75,房东诚售，三街坊经典南北两房，位置好，楼层好,梅园三街坊二手房,浦东二手房,590,114541元/平米,2室1厅1厨1卫,高楼层 (共6层),51.51㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯四户,无
76,双南两室，楼层好，采光佳，视野开阔，无险恶设施,金杨七街坊二手房,浦东二手房,280,50725元/平米,2室1厅1厨1卫,中楼层 (共6层),55.2㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯四户,无
77,惊现平地一两房、中规中矩带阳台,曹杨九村二手房,普陀二手房,239,55673元/平米,2室0厅1厨1卫,高楼层 (共6层),42.93㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯七户,无
78,店东推荐+朝南带飘窗+高区视野好+税费少,蓝朝部落二手房,静安二手房,315,100383元/平米,1室0厅1厨1卫,高楼层 (共31层),31.38㎡,平层,20㎡,塔楼,南,钢混结构,精装,四梯二十四户,有
79,诚意出售，配套齐全，交通便利。,乐山六七村二手房,徐汇二手房,480,83493元/平米,2室1厅1厨1卫,低楼层 (共7层),57.49㎡,平层,57.49㎡,板楼,东南,砖混结构,精装,一梯四户,无
80,东二+全明户型+交通便利+总价低,宛南二村二手房,徐汇二手房,249,74240元/平米,1室1厅1厨1卫,高楼层 (共5层),33.54㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯五户,无
81,由由七村 边套全明一室一厅 一楼带天井 精装近地铁,由由七村二手房,浦东二手房,283,58351元/平米,1室1厅0厨1卫,低楼层 (共6层),48.5㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯三户,无
